Title,Method,Dataset,Metrics,Results,Limitations,Category,Cluster
MUA: Mobile Ultra-detailed Animatable Avatars...,Wavelet-guided Multi-level Spatial Factorized Blendshapes representation and a corresponding distillation pipeline; combines multi-level wavelet spectral decomposition with low-rank structural factorization in texture space.,Not specified,"computational cost, model size, FPS, rendering quality",Achieves up to 2000X lower computational cost and a 10X smaller model size than the original high-quality teacher avatar model; achieves over 180 FPS on a desktop PC and real-time native on-device performance at 24 FPS on a standalone Meta Quest 3.,Not specified,computer graphics,4
A multimodal and temporal foundation model for vir...,"Training and evaluation of a multimodal temporal foundation model (Apollo) on longitudinal hospital records, using feature attribution techniques for interpretability and semantic similarity search for retrieval tasks.","Over three decades of longitudinal hospital records from a major US hospital system, composed of 25 billion records from 7.2 million patients, representing 28 distinct medical modalities and 12 major medical specialties.","prognosis prediction accuracy, retrieval task performance, semantic similarity search performance","Evaluated on 322 prognosis and retrieval tasks from a held-out test set of 1.4 million patients; demonstrated forecasting for disease onset (95 tasks), progression (78 tasks), treatment response (59 tasks), adverse events (17 tasks), and hospital operations (12 tasks); evaluated on 61 retrieval tasks.",Not specified,healthcare AI,4
Latent Phase-Shift Rollback: Inference-Time Error ...,"At each generation step, monitor the residual stream at a critical layer lcrit, detect phase shifts using a cosine-similarity + entropy dual gate, and rollback the KV-cache while injecting a pre-computed steering vector; no fine-tuning, gradients, or additional forward passes required.",MATH-500,"accuracy, AUC, token cost, parameter count, McNemar χ², p-value","LPSR achieves 44.0% on MATH-500 with an 8B model versus 28.8% for standard AR (+15.2 pp; McNemar χ² = 66.96, p < 10⁻¹⁵); outperforms prompted self-correction (19.8%) by +24.2 pp (χ² = 89.4, p ≈ 0); outperforms Best-of-16 by +7.8 pp at 5.4× lower token cost; surpasses standard 70B model (35.2%) with 8.75× fewer parameters at ~3× token budget; detection AUC peaks at layer 14 (0.718), task accuracy peaks at layer 16 (44.0% vs. 29.2%).",Not specified,inference-time reliability,2
Non-linear Lie Conformal Algebras and One-Loop Cor...,Reformulation using the formalism of non-linear Lie conformal algebras,Not specified,,Not specified,Not specified,theoretical physics / mathematical physics / celestial holography,5
Advancing Vision Transformer with Enhanced Spatial...,Euclidean distance decay for spatial information modeling; spatially-independent grouping for attention computation instead of horizontal and vertical decomposition.,"Image Classification, Object Detection, Instance Segmentation, and Semantic Segmentation",top1-acc,EVT achieves 86.6% top1-acc on ImageNet-1k without additional training data.,Not specified,Computer Vision / Vision Transformers,4
Wasserstein Distributionally Robust Risk-Sensitive...,"Computing affine estimators by solving a tractable semidefinite program, applicable when the nominal distribution at the center of the Wasserstein ball is finitely supported",Wholesale electricity price forecasting task using real market data,CVaR of squared error,The proposed estimators deliver lower out-of-sample CVaR of squared error compared to existing methods,Not specified,robust statistics,5
Dissipative Preparation of Correlated Quantum Stat...,"Introducing two types of controllable dissipative auxiliary atoms that act as nonreciprocal excitation and de-excitation channels, enabling a directional walk in Hilbert space.",Neutral atoms in dipolar Rydberg arrays,Not specified,"Enables stabilization of states across the many-body spectrum, not limited to the ground state and requiring no a priori knowledge of the Hamiltonian.",Not specified,quantum state preparation,1
Fast and Forgettable: A Controlled Study of Novice...,"Controlled pair programming study with within-subjects design: 22 participants wrote Python code under time pressure in three conditions—human pair, AI-assisted (GitHub Copilot), and individual—and were retested after one week; subjective (workload, emotion) and objective (performance, retest performance) measures collected.","22 novice participants writing Python code under time pressure in teams of two and individually with GitHub Copilot for 20 minutes each, followed by a one-week retention interval and individual retest.","performance, retest performance, subjective workload, subjective emotion",Participants performed significantly better with GitHub Copilot than with their human teammate; several dimensions of workload were significantly reduced with Copilot; emotional effect of the human teammate was significantly more positive and arousing; there was a nonsignificant absolute retest performance reduction in the AI condition and a larger retest performance decrement in the AI condition.,Not specified,AI in education,3
Hamiltonian dynamics from pure dissipation...,Analysis of GKSL-form Lindbladians with zero Hamiltonian term but nontraceless jump operators; diamond norm error analysis; geometric lower bound proof for time scaling; construction-based approximation.,Not specified,"diamond norm error, evolution time",Dissipative generators approximate Hamiltonian dynamics within ε error using O(t²/ε) evolution time; this scaling is proven necessary and optimal in the worst case from a geometric perspective.,Not specified,quantum information theory,1
AtomTwin.jl: a physics-native digital twin framewo...,"Open-source Julia package providing hardware-level instruction sequences, high-performance solvers for coupled quantum and classical dynamics, and a ready-to-use model for ytterbium-171 atoms in an extensible architecture.","Preparation of a logical Bell state in the [[4,2,2]] error-detecting code with four ^171Yb atoms in moveable tweezers",performance benchmarks against existing toolboxes,Not specified,Not specified,quantum computing software infrastructure,4
